rank,word,modern_pm,early_pm
1,ট্রাম্প,511.87,0.563
2,উপজেল,374.71,0.000
3,বিএনপির,341.41,0.000
4,বিশ্বকাপে,263.95,0.000
5,উপজেলা,260.25,0.375
6,বিএনপি,190.19,0.295
7,জামায়াত,166.51,0.000
8,নির্বাহী,157.14,0.000
9,এআ,140.36,0.188
10,প্রতিবেদনে,138.14,0.188
11,নেতাকর্মী,133.45,0.885
12,অধিদপ্তর,125.07,0.000
13,তৃণমূল,123.09,0.250
14,সংসদে,121.37,0.751
15,প্রতিমন্ত্রী,115.94,0.188
16,ডিজিটাল,115.69,0.938
17,টিশা,113.72,0.000
18,ফেসবুক,112.49,0.000
19,আর্জেন্টিনা,111.25,0.751
20,তেহরান,108.79,0.250
21,মেসি,107.80,0.295
22,নিনা,106.81,1.000
23,নির্দেশনা,106.57,0.295
24,মিচন,101.14,0.000
25,সৌদি,100.40,0.188
26,জামায়া,100.40,0.000
27,বৈশ্বিক,100.15,0.000
28,ছোটাচ্চুর,98.92,0.000
29,আহিরী,97.19,0.000
30,একপর্যায়ে,96.95,0.295
31,টুম্পা,96.70,0.375
32,সক্ষমতা,95.96,0.563
33,ড্রোন,94.97,0.000
34,আহ্বায়ক,94.48,0.563
35,ঈদুল,93.49,0.000
36,গণমাধ্যম,92.26,0.000
37,তিশা,91.77,0.000
38,রাশে,90.78,0.250
39,উপজেলায়,90.29,0.000
40,রিজুল,89.55,0.000
