word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
গায়ত্রী,98,119,0.99413,0.0,1.49707
কাফ,115,151,0.85201,0.0,1.42601
বামদেব,43,98,0.83187,0.0,1.41593
রেণু,22,856,0.79372,0.0,1.39686
রেশমী,39,754,0.77911,0.0,1.38956
আদিত্য,30,432,0.73943,0.0,1.36972
সুখময়,40,153,0.72842,0.0,1.36421
ভারতী,1055,27,0.71672,0.0,1.35836
নীত,56,131,0.71215,0.0,1.35607
অলক,47,127,0.70466,0.0,1.35233
গৌতম,52,168,0.70165,0.0,1.35082
সোম,711,225,0.70068,0.0,1.35034
মনু,72,217,0.69964,0.0,1.34982
ভাস্কর,27,296,0.69542,0.0,1.34771
মনোহর,268,330,0.69165,0.0,1.34583
দেবযানী,58,283,0.70889,0.0101,1.34434
সুব,64,246,0.68415,0.0,1.34208
শ্যাম,281,948,0.67747,0.0,1.33874
অনাদি,121,299,0.67704,0.0,1.33852
ফকির,352,584,0.6688,0.0,1.3344
নিউটন,30,72,0.66859,0.0,1.3343
জয়নাল,257,120,0.66676,0.0,1.33338
নূর,53,106,0.66411,0.0,1.33205
মোহিত,305,199,0.66134,0.0,1.33067
শুক্ল,26,61,0.65775,0.0,1.32887
শিশুপাল,81,53,0.6544,0.0,1.3272
বিষ্ণুর,52,78,0.65431,0.0,1.32715
শকুন্তলা,238,348,0.65255,0.0,1.32627
দেবযানীর,24,69,0.65128,0.0,1.32564
লোচন,26,193,0.64652,0.0,1.32326
ভুজঙ্গ,21,101,0.6413,0.0,1.32065
লালন,20,1475,0.63646,0.0,1.31823
বিহারী,1157,33,0.65614,0.0101,1.31797
বনফুল,44,53,0.62034,0.0,1.31017
সুভদ্,35,71,0.6193,0.0,1.30965
গোবিন্দ,727,450,0.61913,0.0,1.30956
শ্রীমতী,100,212,0.61829,0.0,1.30915
উর্বশী,27,39,0.60698,0.0,1.30349
লোকনাথ,51,67,0.60684,0.0,1.30342
কোটাল,22,193,0.60594,0.0,1.30297
অশোক,216,442,0.60463,0.0,1.30231
পালিত,96,124,0.60356,0.0,1.30178
বিজন,212,61,0.60056,0.0,1.30028
স্বামীজী,313,24,0.59391,0.0,1.29696
সবিতা,37,380,0.59238,0.0,1.29619
টমাস,69,451,0.5901,0.0,1.29505
শশাঙ্ক,30,270,0.58951,0.0,1.29476
সন্তোষ,110,246,0.58892,0.0,1.29446
বিশ্বামিত্র,56,40,0.58741,0.0,1.29371
রামা,95,137,0.58743,0.0,1.29371
